lot	family	path	base_lines	base_prose_lines	current_prose_lines
L00	00 — Pilote spawner déjà préparé	runtime/lib/fleet/spawner.ex	827	399	149
L00	00 — Pilote spawner déjà préparé	runtime/lib/fleet/spawner/pod.ex	1482	437	88
L00	00 — Pilote spawner déjà préparé	runtime/lib/fleet/spawner/supervisor.ex	46	25	6
L01	01 — Spawner : cycle de vie et supervision	runtime/lib/fleet/spawner/application.ex	101	22	22
L01	01 — Spawner : cycle de vie et supervision	runtime/lib/fleet/spawner/canon_proof.ex	142	27	27
L01	01 — Spawner : cycle de vie et supervision	runtime/lib/fleet/spawner/permanent_boot.ex	251	92	92
L01	01 — Spawner : cycle de vie et supervision	runtime/lib/fleet/spawner/permanent_warden.ex	318	76	76
L01	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/canon_proof_test.exs	73	14	14
L01	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/permanent_boot_test.exs	442	57	57
L01	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/permanent_warden_test.exs	314	54	54
L01	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner_test.exs	814	143	143
L01	01 — Spawner : cycle de vie et supervision	runtime/test/support/spawner/launch_stub.ex	32	0	0
L01	01 — Spawner : cycle de vie et supervision	runtime/test/support/spawner/mcp_socket_stub.ex	29	16	16
L02	01 — Spawner : cycle de vie et supervision	runtime/lib/fleet/spawner/pod/backend.ex	125	32	32
L02	01 — Spawner : cycle de vie et supervision	runtime/lib/fleet/spawner/pod/fs.ex	26	8	8
L02	01 — Spawner : cycle de vie et supervision	runtime/lib/fleet/spawner/pod/paths.ex	92	36	36
L02	01 — Spawner : cycle de vie et supervision	runtime/lib/fleet/spawner/pod_tmux.ex	243	92	92
L02	01 — Spawner : cycle de vie et supervision	runtime/lib/fleet/spawner/pod_warden.ex	237	52	52
L02	01 — Spawner : cycle de vie et supervision	runtime/lib/fleet/spawner/publish_consumer.ex	212	26	26
L02	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/pod_test.exs	2781	440	440
L02	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/pod_tmux_test.exs	126	26	26
L02	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/pod_warden_gc_test.exs	104	14	14
L02	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/pod_warden_test.exs	237	34	34
L02	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/publish_consumer_test.exs	446	59	59
L02	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/quiesce_gate_test.exs	80	18	18
L03	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/restart_strategy_test.exs	17	5	5
L03	01 — Spawner : cycle de vie et supervision	runtime/test/fleet/spawner/seam_defaults_test.exs	45	29	29
L04	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/launch_backend.ex	46	20	20
L04	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/launch_backend/launcher_port_backend.ex	101	27	27
L04	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/mcp_socket_provisioner.ex	53	36	36
L04	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/pod/assets.ex	258	107	107
L04	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/pod/brief.ex	169	75	75
L04	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/bwrap_launch_contract_test.exs	55	16	16
L04	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/launch_backend/launcher_port_backend_test.exs	100	10	10
L04	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/launch_backend_test.exs	41	5	5
L04	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/pod/assets_protocol_test.exs	110	21	21
L04	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/pod/assets_settings_test.exs	53	12	12
L04	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/pod/brief_test.exs	43	4	4
L05	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/pod/egress.ex	504	193	193
L05	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/pod/egress/vendor.ex	79	41	41
L05	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/pod/launch_env.ex	295	124	124
L05	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/pod/launch_spec.ex	754	305	305
L05	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/pod/egress_test.exs	527	90	90
L05	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/pod/launch_spec_compression_test.exs	103	24	24
L05	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/pod/launch_spec_debug_test.exs	76	12	12
L05	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/pod/launch_spec_test.exs	559	97	97
L06	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/pod/mcp_provision.ex	237	104	104
L06	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/pod/scaffold.ex	265	104	104
L06	02 — Spawner : provisioning et lancement	runtime/lib/fleet/spawner/pod/session_files.ex	98	42	42
L06	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/pod/mcp_provision_test.exs	33	5	5
L06	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/pod/scaffold_enrich_test.exs	117	16	16
L06	02 — Spawner : provisioning et lancement	runtime/test/fleet/spawner/pod_skills_plugins_test.exs	58	10	10
L07	03 — Spawner : identité et persistance	runtime/lib/fleet/spawner/boot_epoch.ex	38	7	7
L07	03 — Spawner : identité et persistance	runtime/lib/fleet/spawner/pod/recovery.ex	59	27	27
L07	03 — Spawner : identité et persistance	runtime/lib/fleet/spawner/pod/session_mint.ex	124	66	66
L07	03 — Spawner : identité et persistance	runtime/lib/fleet/spawner/pod/state_fs.ex	194	58	58
L07	03 — Spawner : identité et persistance	runtime/lib/fleet/spawner/pool_slot.ex	201	112	112
L07	03 — Spawner : identité et persistance	runtime/lib/fleet/spawner/seed_store.ex	418	141	141
L07	03 — Spawner : identité et persistance	runtime/lib/fleet/spawner/session_id.ex	108	80	80
L07	03 — Spawner : identité et persistance	runtime/test/fleet/spawner/pool_slot_survivor_test.exs	81	10	10
L07	03 — Spawner : identité et persistance	runtime/test/fleet/spawner/pool_slot_test.exs	166	43	43
L07	03 — Spawner : identité et persistance	runtime/test/fleet/spawner/recovery_test.exs	33	8	8
L07	03 — Spawner : identité et persistance	runtime/test/fleet/spawner/seed_store_test.exs	649	92	92
L07	03 — Spawner : identité et persistance	runtime/test/fleet/spawner/session_id_test.exs	165	29	29
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/completed_payload.ex	95	17	17
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/events.ex	78	21	21
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/kick.ex	203	133	133
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/liveness.ex	269	129	129
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/publishing.ex	58	26	26
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/task_probe.ex	162	100	100
L08	04 — Spawner : activité et résultats	runtime/lib/fleet/spawner/pod/turn_flag.ex	119	40	40
L08	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod/completed_payload_test.exs	146	16	16
L08	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod/events_test.exs	57	6	6
L08	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod/liveness_test.exs	132	30	30
L08	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod/turn_flag_test.exs	66	12	12
L08	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod_kick_test.exs	188	39	39
L09	04 — Spawner : activité et résultats	runtime/test/fleet/spawner/pod_kick_repl_up_test.exs	68	12	12
L10	05 — Chemins et toolchain	runtime/lib/fleet/layout.ex	578	352	352
L10	05 — Chemins et toolchain	runtime/lib/fleet/toolchain.ex	323	158	158
