lot	path	base_lines	final_lines	base_prose	final_prose	removed_prose	modified
L00	runtime/lib/fleet/spawner.ex	827	577	399	149	250	true
L00	runtime/lib/fleet/spawner/pod.ex	1482	1126	437	88	349	true
L00	runtime/lib/fleet/spawner/supervisor.ex	46	27	25	6	19	true
L01	runtime/lib/fleet/spawner/application.ex	101	93	22	14	8	true
L01	runtime/lib/fleet/spawner/canon_proof.ex	142	133	27	18	9	true
L01	runtime/lib/fleet/spawner/permanent_boot.ex	251	199	92	40	52	true
L01	runtime/lib/fleet/spawner/permanent_warden.ex	318	277	76	35	41	true
L01	runtime/test/fleet/spawner/canon_proof_test.exs	73	65	14	6	8	true
L01	runtime/test/fleet/spawner/permanent_boot_test.exs	442	394	57	9	48	true
L01	runtime/test/fleet/spawner/permanent_warden_test.exs	314	267	54	8	46	true
L01	runtime/test/fleet/spawner_test.exs	814	692	143	21	122	true
L01	runtime/test/support/spawner/launch_stub.ex	32	32	0	0	0	false
L01	runtime/test/support/spawner/mcp_socket_stub.ex	29	20	16	7	9	true
L02	runtime/lib/fleet/spawner/pod/backend.ex	125	121	32	28	4	true
L02	runtime/lib/fleet/spawner/pod/fs.ex	26	26	8	8	0	false
L02	runtime/lib/fleet/spawner/pod/paths.ex	92	92	36	36	0	false
L02	runtime/lib/fleet/spawner/pod_tmux.ex	243	215	92	64	28	true
L02	runtime/lib/fleet/spawner/pod_warden.ex	237	221	52	36	16	true
L02	runtime/lib/fleet/spawner/publish_consumer.ex	212	202	26	16	10	true
L02	runtime/test/fleet/spawner/pod_test.exs	2781	2456	440	113	327	true
L02	runtime/test/fleet/spawner/pod_tmux_test.exs	126	106	26	6	20	true
L02	runtime/test/fleet/spawner/pod_warden_gc_test.exs	104	95	14	5	9	true
L02	runtime/test/fleet/spawner/pod_warden_test.exs	237	208	34	5	29	true
L02	runtime/test/fleet/spawner/publish_consumer_test.exs	446	402	59	15	44	true
L02	runtime/test/fleet/spawner/quiesce_gate_test.exs	80	69	18	7	11	true
L03	runtime/test/fleet/spawner/restart_strategy_test.exs	17	14	5	2	3	true
L03	runtime/test/fleet/spawner/seam_defaults_test.exs	45	21	29	5	24	true
L04	runtime/lib/fleet/spawner/launch_backend.ex	46	45	20	19	1	true
L04	runtime/lib/fleet/spawner/launch_backend/launcher_port_backend.ex	101	90	27	16	11	true
L04	runtime/lib/fleet/spawner/mcp_socket_provisioner.ex	53	41	36	24	12	true
L04	runtime/lib/fleet/spawner/pod/assets.ex	258	198	107	47	60	true
L04	runtime/lib/fleet/spawner/pod/brief.ex	169	121	75	27	48	true
L04	runtime/test/fleet/spawner/bwrap_launch_contract_test.exs	55	44	16	5	11	true
L04	runtime/test/fleet/spawner/launch_backend/launcher_port_backend_test.exs	100	96	10	6	4	true
L04	runtime/test/fleet/spawner/launch_backend_test.exs	41	37	5	1	4	true
L04	runtime/test/fleet/spawner/pod/assets_protocol_test.exs	110	96	21	7	14	true
L04	runtime/test/fleet/spawner/pod/assets_settings_test.exs	53	45	12	4	8	true
L04	runtime/test/fleet/spawner/pod/brief_test.exs	43	40	4	1	3	true
L05	runtime/lib/fleet/spawner/pod/egress.ex	504	375	193	64	129	true
L05	runtime/lib/fleet/spawner/pod/egress/vendor.ex	79	54	41	16	25	true
L05	runtime/lib/fleet/spawner/pod/launch_env.ex	295	201	124	30	94	true
L05	runtime/lib/fleet/spawner/pod/launch_spec.ex	754	573	305	123	182	true
L05	runtime/test/fleet/spawner/pod/egress_test.exs	527	460	90	23	67	true
