path	base_lines	base_comment_lines	base_inline_comments	base_doc_lines	base_blank_lines	base_doc_blocks	base_module_blocks	base_type_blocks	base_switches	base_prose_lines	base_doctest_prompts	current_lines	current_comment_lines	current_inline_comments	current_doc_lines	current_blank_lines	current_doc_blocks	current_module_blocks	current_type_blocks	current_switches	current_prose_lines	current_doctest_prompts
runtime/.credo.exs	221	86	0	0	7	0	0	0	0	86	0	221	86	0	0	7	0	0	0	0	86	0
runtime/.dialyzer_ignore.exs	10	7	0	0	0	0	0	0	0	7	0	10	7	0	0	0	0	0	0	0	7	0
runtime/.formatter.exs	4	1	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	1	0
runtime/config/config.exs	60	47	0	0	6	0	0	0	0	47	0	60	47	0	0	6	0	0	0	0	47	0
runtime/config/runtime.exs	974	599	0	0	86	0	0	0	0	599	0	974	599	0	0	86	0	0	0	0	599	0
runtime/config/test.exs	149	96	0	0	21	0	0	0	0	96	0	149	96	0	0	21	0	0	0	0	96	0
runtime/lib/fleet/admiral.ex	63	1	0	29	2	1	1	0	0	30	0	63	1	0	29	2	1	1	0	0	30	0
runtime/lib/fleet/admiral/application.ex	93	7	0	32	7	0	1	0	1	39	0	93	7	0	32	7	0	1	0	1	39	0
runtime/lib/fleet/admiral/audit_consumer.ex	162	9	0	34	23	0	1	0	0	43	0	162	9	0	34	23	0	1	0	0	43	0
runtime/lib/fleet/admiral/boot_orchestrator.ex	118	0	0	14	21	1	1	0	0	14	0	118	0	0	14	21	1	1	0	0	14	0
runtime/lib/fleet/admiral/mcp_monitor.ex	150	0	0	41	21	0	1	0	0	41	0	150	0	0	41	21	0	1	0	0	41	0
runtime/lib/fleet/admiral/shutdown.ex	350	51	0	101	45	5	4	0	0	152	0	350	51	0	101	45	5	4	0	0	152	0
runtime/lib/fleet/admiral/toolchain_reconciler.ex	492	89	0	59	70	2	1	0	1	148	0	492	89	0	59	70	2	1	0	1	148	0
runtime/lib/fleet/api.ex	44	0	0	13	1	0	1	0	0	13	0	44	0	0	13	1	0	1	0	0	13	0
runtime/lib/fleet/api/application.ex	79	0	0	35	10	2	1	0	0	35	0	79	0	0	35	10	2	1	0	0	35	0
runtime/lib/fleet/api/build_info.ex	178	14	0	19	23	3	1	0	1	33	0	178	14	0	19	23	3	1	0	1	33	0
runtime/lib/fleet/api/control_router.ex	248	26	0	41	32	2	1	0	0	67	0	248	26	0	41	32	2	1	0	0	67	0
runtime/lib/fleet/api/readiness.ex	160	6	0	14	23	2	1	0	0	20	0	160	6	0	14	23	2	1	0	0	20	0
runtime/lib/fleet/api/spawn_admission.ex	235	22	0	66	28	2	1	1	0	88	0	235	22	0	66	28	2	1	1	0	88	0
runtime/lib/fleet/application.ex	196	68	0	41	16	0	1	0	0	109	0	196	68	0	41	16	0	1	0	0	109	0
runtime/lib/fleet/application/catalogue_deposits.ex	329	70	0	82	38	3	1	1	0	152	0	329	70	0	82	38	3	1	1	0	152	0
runtime/lib/fleet/application/catalogue_lifecycle.ex	313	49	0	107	36	4	1	0	0	156	0	313	49	0	107	36	4	1	0	0	156	0
runtime/lib/fleet/application/catalogue_verify.ex	230	57	0	28	27	2	1	2	0	85	0	230	57	0	28	27	2	1	2	0	85	0
runtime/lib/fleet/cap_profile.ex	1065	97	0	379	118	49	1	0	0	476	0	1065	97	0	379	118	49	1	0	0	476	0
runtime/lib/fleet/cap_profile/canonical_json.ex	51	0	0	13	8	2	1	0	0	13	0	51	0	0	13	8	2	1	0	0	13	0
runtime/lib/fleet/cap_profile/catalog.ex	554	92	0	145	58	17	1	0	0	237	0	554	92	0	145	58	17	1	0	0	237	0
runtime/lib/fleet/cap_profile/disallowed_tools.ex	81	0	0	20	11	3	1	0	0	20	0	81	0	0	20	11	3	1	0	0	20	0
runtime/lib/fleet/cap_profile/image.ex	239	55	0	39	31	4	1	0	0	94	0	239	55	0	39	31	4	1	0	0	94	0
runtime/lib/fleet/cap_profile/invariants.ex	265	53	0	59	29	3	1	0	0	112	0	265	53	0	59	29	3	1	0	0	112	0
runtime/lib/fleet/cap_profile/loader.ex	16	0	0	5	3	0	1	0	0	5	0	16	0	0	5	3	0	1	0	0	5	0
runtime/lib/fleet/cap_profile/schema.ex	232	54	0	43	27	2	1	0	0	97	0	232	54	0	43	27	2	1	0	0	97	0
runtime/lib/fleet/catalogue.ex	858	99	0	387	73	37	1	0	0	486	0	858	99	0	387	73	37	1	0	0	486	0
runtime/lib/fleet/conflict.ex	133	39	0	38	13	1	1	0	0	77	0	133	39	0	38	13	1	1	0	0	77	0
runtime/lib/fleet/conflict/assemble.ex	99	6	0	11	15	1	1	0	0	17	0	99	6	0	11	15	1	1	0	0	17	0
runtime/lib/fleet/conflict/classifier.ex	164	7	0	10	18	2	1	0	0	17	0	164	7	0	10	18	2	1	0	0	17	0
runtime/lib/fleet/conflict/diff.ex	271	22	0	32	43	7	1	0	0	54	0	271	22	0	32	43	7	1	0	0	54	0
runtime/lib/fleet/conflict/parser.ex	126	2	0	25	16	2	1	0	0	27	0	126	2	0	25	16	2	1	0	0	27	0
runtime/lib/fleet/conflict/pattern.ex	31	0	0	11	2	0	1	0	0	11	0	31	0	0	11	2	0	1	0	0	11	0
runtime/lib/fleet/conflict/patterns/complex.ex	26	0	0	5	1	0	1	0	0	5	0	26	0	0	5	1	0	1	0	0	5	0
runtime/lib/fleet/conflict/patterns/delete_no_change.ex	56	0	0	7	9	0	1	0	0	7	0	56	0	0	7	9	0	1	0	0	7	0
runtime/lib/fleet/conflict/patterns/insertion_at_boundary.ex	100	6	0	5	16	0	1	0	0	11	0	100	6	0	5	16	0	1	0	0	11	0
runtime/lib/fleet/conflict/patterns/non_overlapping.ex	61	6	0	12	7	1	1	0	0	18	0	61	6	0	12	7	1	1	0	0	18	0
runtime/lib/fleet/conflict/patterns/one_side_change.ex	41	0	0	3	6	0	1	0	0	3	0	41	0	0	3	6	0	1	0	0	3	0
runtime/lib/fleet/conflict/patterns/reorder_only.ex	53	0	0	4	9	0	1	0	0	4	0	53	0	0	4	9	0	1	0	0	4	0
runtime/lib/fleet/conflict/patterns/same_change.ex	31	0	0	3	4	0	1	0	0	3	0	31	0	0	3	4	0	1	0	0	3	0
runtime/lib/fleet/conflict/patterns/utils.ex	382	15	0	24	61	8	1	0	0	39	0	382	15	0	24	61	8	1	0	0	39	0
runtime/lib/fleet/conflict/patterns/value_only_change.ex	59	0	0	6	7	0	1	0	0	6	0	59	0	0	6	7	0	1	0	0	6	0
runtime/lib/fleet/conflict/patterns/whitespace_only.ex	52	0	0	5	6	0	1	0	0	5	0	52	0	0	5	6	0	1	0	0	5	0
runtime/lib/fleet/conflict/score.ex	76	0	0	27	6	3	1	0	0	27	0	76	0	0	27	6	3	1	0	0	27	0
